,line,stopno,on,off
3096,7016,3142,53.0,104.5925925925926
3097,262,3142,43.074074074074076,94.48148148148148
3098,용산04,3143,132.11111111111111,76.62962962962963
3099,400,3143,56.888888888888886,66.4074074074074
3100,2016,3143,51.148148148148145,74.18518518518519
3101,503,3143,24.37037037037037,57.44444444444444
3102,162,3143,121.37037037037037,108.18518518518519
3103,1711,3143,148.14814814814815,86.44444444444444
3104,7016,3143,88.55555555555556,67.5925925925926
3105,262,3143,93.18518518518519,54.074074074074076
3106,400,3144,63.03703703703704,50.18518518518518
3107,2016,3144,145.59259259259258,47.44444444444444
3108,503,3144,107.70370370370371,54.666666666666664
3109,162,3144,183.74074074074073,221.5185185185185
3110,1711,3144,80.29629629629629,140.7037037037037
3111,7016,3144,131.55555555555554,141.11111111111111
3112,262,3144,98.48148148148148,178.59259259259258
3113,2016,3145,23.11111111111111,98.88888888888889
3114,503,3145,22.22222222222222,71.77777777777777
3115,162,3145,93.55555555555556,128.96296296296296
3116,7016,3145,57.851851851851855,82.48148148148148
3117,262,3145,76.5925925925926,48.888888888888886
3118,2016,3146,189.96296296296296,79.77777777777777
3119,503,3146,170.88888888888889,56.44444444444444
3120,162,3146,264.18518518518516,206.8148148148148
3121,7016,3146,195.37037037037038,192.88888888888889
3122,262,3146,74.07407407407408,147.96296296296296
3123,2016,3147,73.25925925925925,120.37037037037037
3124,503,3147,54.81481481481482,158.1851851851852
3125,162,3147,226.66666666666666,253.85185185185185
3126,7016,3147,171.37037037037038,119.62962962962963
3127,262,3147,152.4814814814815,51.51851851851852
3128,401,3148,91.37037037037037,196.96296296296296
3129,143,3148,267.1111111111111,364.6666666666667
3130,406,3148,68.03703703703704,123.22222222222223
3131,401,3149,166.33333333333334,126.22222222222223
3132,143,3149,485.037037037037,245.4814814814815
3133,406,3149,133.92592592592592,59.22222222222222
3134,3,3150,60.629629629629626,27.62962962962963
3135,401,3150,176.88888888888889,101.96296296296296
3136,143,3150,389.14814814814815,529.8888888888889
3137,406,3150,81.0,101.55555555555556
3138,용산03,3151,173.62962962962962,158.74074074074073
3139,406,3151,143.66666666666666,40.22222222222222
3140,401,3151,240.96296296296296,42.111111111111114
3141,3,3151,44.68,21.32
3142,143,3151,505.037037037037,179.25925925925927
3143,용산03,3152,375.0740740740741,210.8148148148148
3144,401,3152,101.88888888888889,229.92592592592592
