ID,Neighborhood_ID,Avg,City,Sigungu,Neighborhood_name
260,11530510,35590.43795,서울특별시,구로구,신도림동
261,11530520,15248.0968,서울특별시,구로구,구로1동
262,11530530,40421.37893,서울특별시,구로구,구로2동
263,11530540,58978.19888,서울특별시,구로구,구로3동
264,11530550,15786.1972,서울특별시,구로구,구로4동
265,11530560,36915.19879,서울특별시,구로구,구로5동
266,11530595,9571.671988,서울특별시,구로구,가리봉동
267,11530720,24492.05014,서울특별시,구로구,고척1동
268,11530730,16083.61791,서울특별시,구로구,고척2동
269,11530740,25215.28873,서울특별시,구로구,개봉1동
270,11530750,21130.32307,서울특별시,구로구,개봉2동
271,11530760,13334.80121,서울특별시,구로구,개봉3동
272,11530770,14048.73353,서울특별시,구로구,오류1동
273,11530780,41196.84741,서울특별시,구로구,오류2동
274,11530790,22460.48357,서울특별시,구로구,수궁동
275,11545510,83512.32402,서울특별시,금천구,가산동
276,11545610,34354.00815,서울특별시,금천구,독산1동
277,11545620,11923.35608,서울특별시,금천구,독산2동
278,11545630,19403.85447,서울특별시,금천구,독산3동
279,11545640,10911.1456,서울특별시,금천구,독산4동
280,11545670,29982.41677,서울특별시,금천구,시흥1동
281,11545680,12857.41853,서울특별시,금천구,시흥2동
282,11545690,12278.37728,서울특별시,금천구,시흥3동
283,11545700,10089.06714,서울특별시,금천구,시흥4동
284,11545710,11494.63095,서울특별시,금천구,시흥5동
285,11560515,23248.51949,서울특별시,영등포구,영등포본동
286,11560535,61294.37684,서울특별시,영등포구,영등포동
287,11560540,132909.6631,서울특별시,영등포구,여의동
288,11560550,26894.31092,서울특별시,영등포구,당산1동
289,11560560,40987.35249,서울특별시,영등포구,당산2동
290,11560585,13084.20633,서울특별시,영등포구,도림동
291,11560605,47700.27823,서울특별시,영등포구,문래동
292,11560610,19941.34632,서울특별시,영등포구,양평1동
293,11560620,31173.20539,서울특별시,영등포구,양평2동
294,11560630,16473.69976,서울특별시,영등포구,신길1동
295,11560650,13112.24377,서울특별시,영등포구,신길3동
296,11560660,5630.264226,서울특별시,영등포구,신길4동
